X,Y,SP_ID,CVEGEO,Den2012,Den2013,Den2014,Den2015
231639.562173676,2317510.37539227,"0","3104100010070",17,6,2,2
231323.059864879,2316621.77427896,"1","3104100010085",35,15,10,18
230769.747477242,2316113.20750401,"2",310410001009A,35,14,8,17
233250.794544935,2316208.33567777,"3","3104100010136",40,8,6,10
233266.314698997,2317441.67552458,"4","3104100010140",12,8,4,4
232736.60563944,2317237.98397282,"5","3104100010155",30,8,1,5
233022.441007689,2316832.1673358,"6","3104100010189",19,4,3,3
234444.509441181,2317807.4445243,"7","3104100010225",10,11,1,1
234671.33508391,2318410.65782739,"8",310410001023A,7,6,2,7
232027.162616192,2316638.3312658,"9","3104100010259",11,6,2,3
232542.805802165,2316581.85823022,"10","3104100010263",14,9,5,7
233666.706581764,2316784.38208399,"11","3104100010278",45,29,6,7
234345.120947106,2316403.29662623,"12","3104100010282",27,44,18,6
234747.915339662,2315983.07709805,"13","3104100010297",7,7,1,3
234575.15029187,2321849.76197508,"14",310410001030A,0,0,0,0
234009.357540805,2319901.17637674,"15","3104100010314",7,6,1,3
233644.62227289,2319282.8667244,"16","3104100010329",19,3,2,3
234551.706626606,2320078.35142493,"17","3104100010333",0,0,0,5
234263.99527264,2319439.7904287,"18","3104100010348",2,2,3,2
234919.834121053,2317152.50137572,"19","3104100010352",1,0,1,0
232127.757033297,2317477.48873248,"20","3104100010367",15,2,1,3
232303.314988659,2317365.21416761,"21","3104100010371",8,5,0,5
234520.787771221,2315872.25402541,"22","3104100010386",1,0,3,0
233108.87803069,2315573.69237536,"23","3104100010390",6,1,0,0
231977.281247041,2314800.29665651,"24","3104100010403",4,1,0,2
231570.653061792,2314275.73362496,"25","3104100010418",1,0,0,1
234571.520690726,2319650.959175,"26","3104100010422",0,0,1,0
235550.259937347,2320262.1819744,"27","3104100010437",0,0,0,2
234880.71891847,2321533.08947544,"28","3104100010441",0,0,0,0
234140.844071194,2322020.58142451,"29","3104100010456",4,1,1,0
234563.374962985,2321456.1986749,"30","3104100010460",12,4,2,6
234162.646736124,2320571.72847514,"31","3104100010475",24,8,1,5
235091.585933203,2321851.9148305,"32",310410001048A,0,0,0,0
235257.729978723,2319953.3910749,"33","3104100010494",28,5,1,4
235246.346240058,2316327.02922535,"34","3104100010507",6,3,5,2
233752.648244427,2317562.70977531,"35","3104100010511",30,15,2,8
234303.282421673,2317225.40662495,"36","3104100010526",51,18,9,9
232208.779225958,2316031.02177368,"37","3104100010530",11,4,5,9
231718.016038523,2315579.11952285,"38","3104100010545",14,5,5,3
234656.540231998,2319073.43451813,"39",310410001055A,0,0,0,0
231365.802473862,2314797.26233418,"40","3104100010564",4,0,0,0
235480.862175222,2315578.53269262,"41","3104100010579",0,2,1,0
235040.930933555,2322049.16597475,"42","3104100010583",0,0,0,0
236150.183716793,2314955.78559006,"43","3104100010598",0,0,0,0
235057.088770735,2319298.56230974,"44","3104100010600",0,1,0,0
231013.627709775,2314981.22993726,"45","3104100010615",0,0,0,1
235031.279102144,2315669.04462679,"46",310410001062A,1,0,0,0
235363.417890032,2321856.22472474,"47","3104100010634",1,0,0,0
235643.629082066,2315705.31258134,"48","3104100010649",0,0,0,0
231941.918978528,2314380.6859801,"49","3104100010653",0,0,0,0
231123.921385614,2314429.56759437,"50","3104100010668",0,0,0,0
232452.930440106,2315016.52542456,"51","3104100010672",0,0,0,0
235322.168245018,2321514.09197776,"52","3104100010687",0,0,0,0
235130.372440484,2318651.40875689,"53","3104100010691",0,0,0,0
232995.190660316,2318494.47937566,"54","3104100010704",22,11,4,9
233655.056977929,2318213.41747667,"55","3104100010719",9,7,4,14
232125.519322515,2315364.01592519,"56","3104100010723",9,4,0,1
230484.421135084,2315486.51811331,"57","3104100010738",4,3,2,0
229683.756498179,2324506.07978536,"58","3105000010120",3,6,2,7
228462.188295654,2323591.03586797,"59","3105000010169",20,13,9,13
229951.845867652,2323584.67957492,"60","3105000010188",11,2,3,6
226804.612781817,2323373.24332516,"61",310500001021A,17,7,9,13
227550.862514699,2323036.27422479,"62","3105000010224",22,13,18,8
229994.957832063,2322471.10917565,"63","3105000010262",37,20,7,63
225704.578500244,2322887.0341746,"64","3105000010281",19,11,7,7
226621.68529876,2322758.82347461,"65","3105000010296",11,7,11,6
225643.394771012,2322401.80657456,"66","3105000010309",35,12,19,39
226463.437112702,2322212.81557436,"67","3105000010313",39,15,16,30
227280.939905975,2322058.34242219,"68","3105000010328",43,8,11,18
228475.615221828,2321500.88902491,"69","3105000010332",40,28,27,26
229288.464157612,2321710.90427488,"70","3105000010347",39,23,17,61
229047.478435256,2320960.88092547,"71","3105000010366",18,17,21,26
224070.96479318,2322022.52657451,"72",310500001039A,45,28,8,27
224401.055824608,2321943.9798246,"73","3105000010402",41,17,5,11
224861.966208733,2321789.43267452,"74","3105000010417",61,21,4,22
225651.238998254,2321644.62961096,"75","3105000010421",53,19,8,54
226444.71624901,2321446.3978405,"76","3105000010436",43,14,19,25
227034.752411793,2321275.95989536,"77","3105000010440",47,22,21,60
227698.820045216,2321186.3495749,"78","3105000010455",30,36,16,44
225442.014577732,2320653.36112453,"79","3105000010489",54,16,17,102
226147.399423688,2320600.03782489,"80","3105000010493",59,21,13,106
226838.274975548,2320473.29793878,"81","3105000010506",35,21,13,30
227506.094345315,2320310.19699406,"82","3105000010510",26,12,14,20
228151.980453961,2320195.42185662,"83","3105000010525",35,31,12,24
228819.662541273,2320096.9098248,"84",310500001053A,46,31,23,32
229913.628091711,2320336.44077323,"85","3105000010544",26,14,7,13
229840.082065054,2320019.12472488,"86","3105000010563",25,12,4,18
224892.529822436,2319581.04507463,"87","3105000010597",45,20,6,69
225759.700752913,2319475.35427495,"88",310500001060A,108,53,24,93
226646.120175217,2319541.50602472,"89","3105000010614",86,18,18,72
227331.633644834,2319522.03307471,"90","3105000010629",25,21,9,40
227819.073287084,2319047.37262486,"91","3105000010633",36,26,19,39
228493.631800535,2319158.04922377,"92","3105000010648",22,15,18,17
229233.976029875,2319099.62262464,"93","3105000010652",28,17,26,9
226325.132283223,2318726.55342447,"94","3105000010667",68,22,12,79
227144.10076505,2318725.27697451,"95","3105000010671",59,28,14,72
229005.003131707,2318710.3794254,"96","3105000010686",35,10,12,11
226241.556281206,2317982.5107248,"97","3105000010718",49,18,13,44
227937.657763592,2318386.5385756,"98","3105000010737",30,14,7,58
228498.520588867,2318565.91922496,"99","3105000010741",38,18,14,20
227973.656109478,2317928.88717562,"100","3105000010756",22,15,11,13
228709.446930321,2318014.4639748,"101","3105000010760",29,12,7,40
223300.026691243,2316375.75072415,"102",310500001078A,18,14,6,24
227047.412147486,2317202.9469748,"103","3105000010807",30,13,18,82
228916.853964065,2317288.92582464,"104","3105000010826",35,21,8,36
231599.536207283,2320949.89724848,"105","3105000011218",43,15,9,25
232264.359567947,2320811.81262506,"106","3105000011241",38,11,5,13
230506.523452436,2317206.36782449,"107","3105000011345",18,10,4,5
227213.319388898,2327075.40202773,"108","3105000011453",7,3,1,0
227544.137012761,2326023.57597227,"109","3105000011468",8,3,1,4
228056.094626106,2325725.68649997,"110","3105000011472",16,2,1,1
226206.214513803,2324455.36482401,"111","3105000011487",28,9,5,9
227196.769578013,2323626.42322439,"112","3105000011504",16,7,8,17
227655.281148129,2328173.11817473,"113","3105000011523",11,7,2,5
227841.485938461,2327439.49182455,"114","3105000011542",6,3,2,2
228510.500659905,2327581.41262459,"115","3105000011557",2,0,0,0
227993.133935156,2326865.31665564,"116","3105000011561",4,0,2,1
228752.118182998,2327081.67287437,"117","3105000011576",4,0,0,2
231020.178226739,2324945.0236748,"118","3105000011608",6,3,5,8
231643.687492679,2322573.33377415,"119","3105000011631",26,12,8,26
229437.540229437,2317346.3037748,"120","3105000011650",16,7,8,5
229811.272505454,2317440.86937505,"121","3105000011665",10,5,7,7
229241.473605077,2316299.35697454,"122","3105000011684",7,7,1,3
228467.139819284,2326388.07345473,"123","3105000011699",10,2,0,3
